,position,body_x,body_y,body_z,targetx,targety,thetax,thetay,velocity,acceleration,omega,alpha,cg
20,"v = ( 0.0000, 0.0000, 0.0036 ) 	|v| = 0.0036","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.2014 ) 	|v| = 0.2014","v = ( 0.0000, 0.0000, 5.4284 ) 	|v| = 5.4284","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02946429]
21,"v = ( 0.0000, 0.0000, 0.0056 ) 	|v| = 0.0056","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.2640 ) 	|v| = 0.2640","v = ( 0.0000, 0.0000, 6.2582 ) 	|v| = 6.2582","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02957085]
22,"v = ( 0.0000, 0.0000, 0.0082 ) 	|v| = 0.0082","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.3348 ) 	|v| = 0.3348","v = ( 0.0000, 0.0000, 7.0884 ) 	|v| = 7.0884","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02967746]
23,"v = ( 0.0000, 0.0000, 0.0116 ) 	|v| = 0.0116","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.4142 ) 	|v| = 0.4142","v = ( 0.0000, 0.0000, 7.9334 ) 	|v| = 7.9334","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02978412]
24,"v = ( 0.0000, 0.0000, 0.0157 ) 	|v| = 0.0157","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.5025 ) 	|v| = 0.5025","v = ( 0.0000, 0.0000, 8.8362 ) 	|v| = 8.8362","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02989084]
25,"v = ( 0.0000, 0.0000, 0.0208 ) 	|v| = 0.0208","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.5999 ) 	|v| = 0.5999","v = ( 0.0000, 0.0000, 9.7394 ) 	|v| = 9.7394","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.02999761]
26,"v = ( 0.0000, 0.0000, 0.0268 ) 	|v| = 0.0268","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.7064 ) 	|v| = 0.7064","v = ( 0.0000, 0.0000, 10.6431 ) 	|v| = 10.6431","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.03010443]
27,"v = ( 0.0000, 0.0000, 0.0338 ) 	|v| = 0.0338","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.8218 ) 	|v| = 0.8218","v = ( 0.0000, 0.0000, 11.5472 ) 	|v| = 11.5472","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.03021131]
28,"v = ( 0.0000, 0.0000, 0.0420 ) 	|v| = 0.0420","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.9464 ) 	|v| = 0.9464","v = ( 0.0000, 0.0000, 12.4517 ) 	|v| = 12.4517","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.03031824]
29,"v = ( 0.0000, 0.0000, 0.0515 ) 	|v| = 0.0515","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 1.0799 ) 	|v| = 1.0799","v = ( 0.0000, 0.0000, 13.3566 ) 	|v| = 13.3566","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000",[0.         0.         0.03042522]
