,position,heading,targetx,targety,thetax,thetay,velocity,acceleration,omega
47,"v = ( 0.0000, 0.0000, 0.4987 ) 	|v| = 0.4987","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 4.9216 ) 	|v| = 4.9216","v = ( 0.0000, 0.0000, 23.9649 ) 	|v| = 23.9649","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
48,"v = ( 0.0000, 0.0000, 0.5479 ) 	|v| = 0.5479","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 5.1378 ) 	|v| = 5.1378","v = ( 0.0000, 0.0000, 21.6194 ) 	|v| = 21.6194","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
49,"v = ( 0.0000, 0.0000, 0.5993 ) 	|v| = 0.5993","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 5.3506 ) 	|v| = 5.3506","v = ( 0.0000, 0.0000, 21.2799 ) 	|v| = 21.2799","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
50,"v = ( 0.0000, 0.0000, 0.6528 ) 	|v| = 0.6528","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 5.5600 ) 	|v| = 5.5600","v = ( 0.0000, 0.0000, 20.9401 ) 	|v| = 20.9401","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
51,"v = ( 0.0000, 0.0000, 0.7084 ) 	|v| = 0.7084","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 5.7660 ) 	|v| = 5.7660","v = ( 0.0000, 0.0000, 20.6002 ) 	|v| = 20.6002","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
52,"v = ( 0.0000, 0.0000, 0.7661 ) 	|v| = 0.7661","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 5.9610 ) 	|v| = 5.9610","v = ( 0.0000, 0.0000, 19.4982 ) 	|v| = 19.4982","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
53,"v = ( 0.0000, 0.0000, 0.8257 ) 	|v| = 0.8257","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 6.1536 ) 	|v| = 6.1536","v = ( 0.0000, 0.0000, 19.2621 ) 	|v| = 19.2621","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
54,"v = ( 0.0000, 0.0000, 0.8872 ) 	|v| = 0.8872","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 6.3439 ) 	|v| = 6.3439","v = ( 0.0000, 0.0000, 19.0259 ) 	|v| = 19.0259","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
55,"v = ( 0.0000, 0.0000, 0.9506 ) 	|v| = 0.9506","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 6.5318 ) 	|v| = 6.5318","v = ( 0.0000, 0.0000, 18.7895 ) 	|v| = 18.7895","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
56,"v = ( 0.0000, 0.0000, 1.0160 ) 	|v| = 1.0160","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 6.7173 ) 	|v| = 6.7173","v = ( 0.0000, 0.0000, 18.5530 ) 	|v| = 18.5530","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
57,"v = ( 0.0000, 0.0000, 1.0831 ) 	|v| = 1.0831","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 6.9004 ) 	|v| = 6.9004","v = ( 0.0000, 0.0000, 18.3163 ) 	|v| = 18.3163","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
